input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,batches_per_epoch,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,1.414285714285714,['y_lead_1'],0.5740921195762649,0,1,42,13.110020637512209,2103.84765625,13.090685332892464,7564257.5,413.7272644042969,inf,0.2244118005037307,132806.453125,0.1958767175674438,413.7272644042969,791.6440883749165
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,1.1785714285714286,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.6433551495047093,0,3,42,15.77220344543457,2458.746337890625,15.423507750034332,13136299.0,652.5784301757812,inf,0.3241176605224609,628433.0,0.2705325186252594,675.3545532226562,1117.9430884579197
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,0.4714285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.9023272720696456,0,3,42,6.862878322601318,1031.193359375,14.860905749956146,14465352.0,622.290771484375,inf,0.301367700099945,599266.0,0.2579764723777771,647.3702392578125,1197.6782577501144
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,1.65,['y_lead_1'],0.5155699714169586,0,1,42,15.484054565429688,2341.3671875,16.734768124995753,6404770.0,374.5123291015625,inf,0.2110095173120498,120218.453125,0.1773106455802917,374.5123291015625,910.7433928749524
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,1.414285714285714,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.5740921195762649,0,3,42,19.000926971435547,2898.424560546875,15.145310749998316,4086198.75,323.2802429199219,inf,0.2260466367006302,17433856.0,0.1218397840857505,516.7138061523438,1202.130082125077
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,3,1H,24,0.0,[],0.0,0,0,42,,,,2662495.5,278.3634033203125,inf,0.2855274677276611,268063.96875,0.201296791434288,289.32391357421875,0.1169976249802857
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.4714285714285714,"['y_lead_1', 'y_lead_2']",0.9023272720696456,0,2,42,6.044734954833984,982.2610473632812,13.769571958808228,2900108.25,280.37481689453125,inf,0.2120514959096908,15120054.0,0.1057502105832099,460.2248840332031,1414.816390707856
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,1,1H,24,0.7071428571428571,['y_lead_1'],0.8131887100854838,0,1,42,7.16827917098999,1068.8648681640625,14.010045957984405,3717785.0,308.7861328125,inf,0.1914228796958923,99120.3515625,0.1461929678916931,308.7861328125,1003.4684989589732
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,2,1H,24,1.1785714285714286,"['y_lead_1', 'y_lead_2']",0.6433551495047093,0,2,42,14.794600486755373,2206.586669921875,16.15873554092832,13072648.0,594.3565063476562,inf,0.3008115589618683,381576.875,0.2586119771003723,609.6082763671875,877.8738362919539
1,40,2,0.1,1,128,0.001,100,10,lstm,500,/Users/garethdavies/Downloads/electricity_hourly_dataset.tsf,electricity,505,168,1H,24,0.0,['y_lead_1'],0.999999999999639,0,1,42,0.6587465405464172,199.7433013916016,16.28236149996519,3109150.0,282.0765686035156,inf,0.2066460996866226,15211826.0,0.1064780056476593,478.5899658203125,1588.4670733748935
