input_dim,hidden_dim,n_layers,dropout,output_dim,batch_size,lr,epochs,patience,rnn_type,path,dataset,context_length,prediction_length,freq,seasonality,error,conts,pearson,noise,covariates,seed,train_loss,valid_loss,elapsed_time,mse,mae,mape,smape,abs_error,mase,rmse,run_time
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.6,"['y_lead_1', 'y_lead_2']",0.519786682090601,0,2,42,2.876782894134521,3.045761108398437,5.7116214169655,0.9601855278015136,0.6278029680252075,0.0681500285863876,0.0648789182305336,1082.332275390625,0.155846282839775,0.6897097826004028,441.8147499160841
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,[],0.0,0,0,43,0.2950210571289062,0.4934953153133392,7.272024458041415,4.013293266296387,1.1471108198165894,inf,0.1272554695606231,7910.47705078125,0.2751960158348083,1.5577627420425415,294.27784524997696
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.2571428571428571,['y_lead_1'],0.8173705894712557,0,1,42,0.967070698738098,1.1286444664001465,6.003887291997671,0.7793446779251099,0.5872811675071716,0.0669409185647964,0.0627449750900268,506.23638916015625,0.1497009396553039,0.5872811675071716,543.2767397500575
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.6,['y_lead_1'],0.519786682090601,0,1,42,2.276319742202759,3.933460712432861,5.965243374928832,0.942434787750244,0.6501561403274536,0.076059989631176,0.0701599493622779,560.4345703125,0.1657280772924423,0.6501561403274536,274.00704991584644
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.6,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.519786682090601,0,3,42,3.2399370670318604,3.335129976272583,5.315395000157878,1.9393893480300903,0.8719362616539001,inf,0.0915017426013946,6012.87255859375,0.212831050157547,1.0908989906311035,367.73087812494487
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.2571428571428571,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.8173705894712557,0,3,42,1.2998634576797483,1.454787015914917,5.1499162500258535,1.9446802139282229,0.8664824962615967,inf,0.0895998403429985,5975.26318359375,0.2114998400211334,1.1084574460983276,404.549459541915
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,[],0.0,0,0,44,0.3366707563400268,0.4951358139514923,5.659628834109753,3.9681472778320312,1.1414141654968262,inf,0.127122089266777,7871.1923828125,0.2738293409347534,1.5428720712661743,237.0221885829233
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.0,[],0.0,0,0,42,,,,1.4842729568481443,0.6828194856643677,inf,0.0700172036886215,1765.771240234375,0.1596519201993942,0.7719680070877075,0.4417304589878768
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.4285714285714286,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.6483279278893316,0,3,42,2.259349822998047,2.384461641311645,5.332427042070776,2.0213639736175537,0.869523286819458,inf,0.0905530676245689,5996.232421875,0.2122420668601989,1.100019097328186,387.3973944580648
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,['y_lead_1'],1.0,0,1,42,0.1615244597196579,0.459749162197113,5.996931832982227,1.943527102470398,0.783761203289032,inf,0.0814205110073089,5404.8173828125,0.1871904730796814,1.0416332483291626,568.1202462920919
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,1,1H,52,0.4285714285714286,['y_lead_1'],0.6483279278893316,0,1,42,1.6388455629348757,1.9221829175949097,5.925377208041027,0.8767277002334595,0.6184737086296082,0.0728953853249549,0.0673110857605934,533.1243286132812,0.1576520651578903,0.6184737086296082,258.57957270904444
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.6,"['y_lead_1', 'y_lead_2']",0.519786682090601,0,2,42,2.876782894134521,3.045761108398437,5.664807207882404,2.088794231414795,0.8933663964271545,inf,0.0925109609961509,6160.654296875,0.2157821953296661,1.103998780250549,451.0132632909808
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.2571428571428571,"['y_lead_1', 'y_lead_2']",0.8173705894712557,0,2,42,1.1834840774536133,1.377149224281311,5.857199458871037,1.9582618474960327,0.8503862023353577,inf,0.0881615653634071,5864.2626953125,0.2054008245468139,1.0752243995666504,418.2729645001236
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,8,1H,52,0.0,"['y_lead_1', 'y_lead_2']",1.0,0,2,42,0.1086864471435546,0.403870016336441,5.807480624876916,1.6398016214370728,0.6609475016593933,inf,0.0685136392712593,4557.89404296875,0.159644141793251,0.9620609283447266,555.9893018340226
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,3,1H,52,0.6,"['y_lead_1', 'y_lead_2', 'y_lead_3']",0.519786682090601,0,3,42,3.2399370670318604,3.335129976272583,5.243032000027597,0.92033851146698,0.6370605230331421,0.0698577836155891,0.0666596144437789,1647.4383544921875,0.1579332649707794,0.722466230392456,355.75302270799875
1,40,2,0.1,1,128,0.001,100,10,lstm,/Users/garethdavies/Downloads/traffic_weekly_dataset.tsf,traffic,65,2,1H,52,0.0,[],0.0,0,0,42,,,,1.0983682870864868,0.6255205869674683,inf,0.0647171810269355,1078.3974609375,0.1480879783630371,0.6712039709091187,0.3300287080928683
